Computed in WSL

# pipes:  9
0 geometry_built, time used:  21.18040633201599
0 number of points:  7826
        residual = 0.06389083656059254, iter = 120,     time = 0.0 mins
        residual = 0.06116965125998819, iter = 140,     time = 0.0 mins
        residual = 0.057708654280292974,        iter = 160,     time = 0.0 mins
        residual = 0.05708973332368151, iter = 180,     time = 0.0 mins
        residual = 0.0478084280690296,  iter = 200,     time = 0.0 mins
        residual = 0.03177715272206392, iter = 220,     time = 0.0 mins
        residual = 0.0055229494883773204,       iter = 240,     time = 0.0 mins
        residual = 0.0006298870831897437,       iter = 260,     time = 0.0 mins
        residual = 1.2685978563824585e-10,      iter = 280,     time = 0.0 mins
3 solver built, time used:  216.61408615112305 n omegas:  4

4 geometry_built, time used:  38.036999464035034
4 number of points:  17836
        residual = 0.20596908084477797, iter = 20,      time = 0.0 mins
        residual = 0.1676676129183002,  iter = 40,      time = 0.0 mins
        residual = 0.14155202365503838, iter = 60,      time = 0.0 mins
        residual = 0.1280285451316041,  iter = 80,      time = 0.0 mins
        residual = 0.1177952905067468,  iter = 100,     time = 0.0 mins
        residual = 0.11536391546549951, iter = 120,     time = 0.0 mins
        residual = 0.11145472643038008, iter = 140,     time = 0.0 mins
        residual = 0.061302419581698686,        iter = 160,     time = 0.0 mins
        residual = 0.0601793409392985,  iter = 180,     time = 0.0 mins
        residual = 0.0536448019825871,  iter = 200,     time = 0.0 mins
        residual = 0.004240057365007211,        iter = 220,     time = 0.0 mins
        residual = 0.0014456545467349193,       iter = 240,     time = 0.0 mins
        residual = 8.582972381150477e-11,       iter = 260,     time = 0.0 mins
        residual = 5.5501153883326765e-11,      iter = 280,     time = 0.0 mins
        residual = 4.742485336628637e-11,       iter = 300,     time = 0.0 mins
        residual = 3.9993026510186485e-11,      iter = 320,     time = 0.0 mins
        residual = 3.6860205848550104e-11,      iter = 340,     time = 0.0 mins
        residual = 3.427747453651584e-11,       iter = 360,     time = 0.0 mins
        residual = 3.195768083513828e-11,       iter = 380,     time = 1.0 mins
        residual = 2.6192083151325907e-11,      iter = 400,     time = 1.0 mins
        residual = 3.8243176931568634e-11,      iter = 420,     time = 1.0 mins
        residual = 3.4438879090826634e-11,      iter = 440,     time = 1.0 mins
        residual = 3.2225123391272234e-11,      iter = 460,     time = 1.0 mins
        residual = 3.132366245673897e-11,       iter = 480,     time = 1.0 mins
        residual = 3.025153410314043e-11,       iter = 500,     time = 1.0 mins
        residual = 2.942654619939742e-11,       iter = 520,     time = 1.0 mins
        residual = 2.3455795104925045e-11,      iter = 540,     time = 1.0 mins
        residual = 1.936293763329847e-11,       iter = 560,     time = 1.0 mins
        residual = 1.9004588196949026e-11,      iter = 580,     time = 1.0 mins
        residual = 1.678028579001905e-11,       iter = 600,     time = 1.0 mins
        residual = 1.5779563748201817e-11,      iter = 620,     time = 1.0 mins
        residual = 1.3793700779647632e-11,      iter = 640,     time = 1.0 mins
        residual = 3.740620461029352e-11,       iter = 660,     time = 1.0 mins
        residual = 2.9517006598955635e-11,      iter = 680,     time = 1.0 mins
        residual = 2.6303497466885622e-11,      iter = 700,     time = 1.0 mins
        residual = 2.443962191001129e-11,       iter = 720,     time = 1.0 mins
        residual = 2.2060406548107246e-11,      iter = 740,     time = 2.0 mins
        residual = 2.035630101372249e-11,       iter = 760,     time = 2.0 mins
        residual = 1.640662163312077e-11,       iter = 780,     time = 2.0 mins
        residual = 1.2593737579572215e-11,      iter = 800,     time = 2.0 mins
        residual = 1.0751131734979118e-11,      iter = 820,     time = 2.0 mins
        residual = 9.487727900265056e-12,       iter = 840,     time = 2.0 mins
        residual = 7.195719814627529e-12,       iter = 860,     time = 2.0 mins
        residual = 6.346884237247534e-12,       iter = 880,     time = 2.0 mins
        residual = 0.23944587390577385, iter = 20,      time = 0.0 mins
        residual = 0.19100681836023597, iter = 40,      time = 0.0 mins
        residual = 0.1682164188346951,  iter = 60,      time = 0.0 mins
        residual = 0.1620431431034933,  iter = 80,      time = 0.0 mins
        residual = 0.11066051781045372, iter = 100,     time = 0.0 mins
        residual = 0.0748379122008453,  iter = 120,     time = 0.0 mins
        residual = 0.073471509016231,   iter = 140,     time = 0.0 mins
        residual = 0.06350562278683715, iter = 160,     time = 0.0 mins
        residual = 0.011218943515613361,        iter = 180,     time = 0.0 mins
        residual = 0.004596838904569187,        iter = 200,     time = 0.0 mins
        residual = 0.0032505301874390905,       iter = 220,     time = 0.0 mins
        residual = 0.0019219413284918276,       iter = 240,     time = 0.0 mins
        residual = 1.3378741490471481e-10,      iter = 260,     time = 0.0 mins
        residual = 8.010193183614018e-11,       iter = 280,     time = 0.0 mins
        residual = 5.630231511940908e-11,       iter = 300,     time = 0.0 mins
        residual = 2.7144866223990245e-11,      iter = 320,     time = 0.0 mins
        residual = 2.357392898888451e-11,       iter = 340,     time = 0.0 mins
        residual = 2.1903664209529788e-11,      iter = 360,     time = 0.0 mins
        residual = 2.0383883785394247e-11,      iter = 380,     time = 1.0 mins
        residual = 1.9346330844257534e-11,      iter = 400,     time = 1.0 mins
        residual = 3.830370834608744e-11,       iter = 420,     time = 1.0 mins
        residual = 2.7992908409308742e-11,      iter = 440,     time = 1.0 mins
        residual = 2.6000160189688608e-11,      iter = 460,     time = 1.0 mins
        residual = 2.074674533431591e-11,       iter = 480,     time = 1.0 mins
        residual = 1.8940888518454742e-11,      iter = 500,     time = 1.0 mins
        residual = 1.818865116913601e-11,       iter = 520,     time = 1.0 mins
        residual = 1.618493599727864e-11,       iter = 540,     time = 1.0 mins
        residual = 1.1053031702000784e-11,      iter = 560,     time = 1.0 mins
        residual = 8.970511760110997e-12,       iter = 580,     time = 1.0 mins
        residual = 7.669670543306109e-12,       iter = 600,     time = 1.0 mins
        residual = 5.871242708435796e-12,       iter = 620,     time = 1.0 mins
        residual = 3.639454367590736e-12,       iter = 640,     time = 1.0 mins
        residual = 5.242915544226637e-11,       iter = 660,     time = 1.0 mins
        residual = 3.266927493254646e-11,       iter = 680,     time = 1.0 mins
        residual = 2.512844308727465e-11,       iter = 700,     time = 1.0 mins
        residual = 2.1712502774346572e-11,      iter = 720,     time = 1.0 mins
        residual = 2.006859582963991e-11,       iter = 740,     time = 2.0 mins
        residual = 1.9263475645637952e-11,      iter = 760,     time = 2.0 mins
        residual = 1.17227728530576e-11,        iter = 780,     time = 2.0 mins
        residual = 6.813661428573444e-12,       iter = 800,     time = 2.0 mins
        residual = 5.855307526619703e-12,       iter = 820,     time = 2.0 mins
        residual = 5.719036540324832e-12,       iter = 840,     time = 2.0 mins
        residual = 4.351284333214264e-12,       iter = 860,     time = 2.0 mins
        residual = 3.734487449539912e-12,       iter = 880,     time = 2.0 mins
        residual = 1.3931389292131645e-14,      iter = 900,     time = 2.0 mins
        residual = 0.25299113011416907, iter = 20,      time = 0.0 mins
        residual = 0.1900283879859037,  iter = 40,      time = 0.0 mins
        residual = 0.1731271969981687,  iter = 60,      time = 0.0 mins
        residual = 0.1694252432211574,  iter = 80,      time = 0.0 mins
        residual = 0.1565068831381072,  iter = 100,     time = 0.0 mins
        residual = 0.15065882881177112, iter = 120,     time = 0.0 mins
        residual = 0.10318950141196677, iter = 140,     time = 0.0 mins
        residual = 0.0866113111334283,  iter = 160,     time = 0.0 mins
        residual = 0.0827223208116879,  iter = 180,     time = 0.0 mins
        residual = 0.05900151618303873, iter = 200,     time = 0.0 mins
        residual = 0.001052162705703943,        iter = 220,     time = 0.0 mins
        residual = 0.000872051942517375,        iter = 240,     time = 0.0 mins
        residual = 4.098099361514252e-11,       iter = 260,     time = 0.0 mins
        residual = 2.366748278038654e-11,       iter = 280,     time = 0.0 mins
        residual = 2.1974448480291897e-11,      iter = 300,     time = 0.0 mins
        residual = 1.4289628296681676e-11,      iter = 320,     time = 0.0 mins
        residual = 1.1723141708717122e-11,      iter = 340,     time = 0.0 mins
        residual = 1.0117199002248521e-11,      iter = 360,     time = 0.0 mins
        residual = 9.724685809663573e-12,       iter = 380,     time = 1.0 mins
        residual = 8.813302917753673e-12,       iter = 400,     time = 1.0 mins
        residual = 7.403985747435837e-12,       iter = 420,     time = 1.0 mins
        residual = 4.381477322709817e-12,       iter = 440,     time = 1.0 mins
        residual = 3.9499595028899776e-12,      iter = 460,     time = 1.0 mins
        residual = 3.699171205503225e-12,       iter = 480,     time = 1.0 mins
        residual = 2.1519820414712386e-12,      iter = 500,     time = 1.0 mins
        residual = 1.8247213485385947e-12,      iter = 520,     time = 1.0 mins
        residual = 1.6234530363467555e-11,      iter = 540,     time = 1.0 mins
        residual = 1.0273686264506165e-11,      iter = 560,     time = 1.0 mins
        residual = 8.342675894414232e-12,       iter = 580,     time = 1.0 mins
        residual = 6.450098027583572e-12,       iter = 600,     time = 1.0 mins
        residual = 4.898361011710442e-12,       iter = 620,     time = 1.0 mins
        residual = 4.354106659992133e-12,       iter = 640,     time = 1.0 mins
        residual = 4.112971625923123e-12,       iter = 660,     time = 1.0 mins
        residual = 3.4947747078515995e-12,      iter = 680,     time = 1.0 mins
        residual = 3.1804941260784455e-12,      iter = 700,     time = 1.0 mins
        residual = 2.4043985373697935e-12,      iter = 720,     time = 1.0 mins
        residual = 2.015577913724777e-12,       iter = 740,     time = 1.0 mins
        residual = 1.5961838226587145e-12,      iter = 760,     time = 2.0 mins
        residual = 2.457173827592035e-13,       iter = 780,     time = 2.0 mins
        residual = 0.21693663568308505, iter = 20,      time = 0.0 mins
        residual = 0.175077813617318,   iter = 40,      time = 0.0 mins
        residual = 0.1602526495133735,  iter = 60,      time = 0.0 mins
        residual = 0.14600546119043797, iter = 80,      time = 0.0 mins
        residual = 0.14045985488068913, iter = 100,     time = 0.0 mins
        residual = 0.13223761958347666, iter = 120,     time = 0.0 mins
        residual = 0.12315182623067128, iter = 140,     time = 0.0 mins
        residual = 0.10612246531227425, iter = 160,     time = 0.0 mins
        residual = 0.06559501101570402, iter = 180,     time = 0.0 mins
        residual = 0.03904723176989032, iter = 200,     time = 0.0 mins
        residual = 0.007122990484209631,        iter = 220,     time = 0.0 mins
        residual = 0.002800970835693421,        iter = 240,     time = 0.0 mins
        residual = 1.569230384694403e-10,       iter = 260,     time = 0.0 mins
        residual = 1.1151706803448727e-10,      iter = 280,     time = 0.0 mins
        residual = 9.792550861169415e-11,       iter = 300,     time = 0.0 mins
        residual = 8.199232399711928e-11,       iter = 320,     time = 0.0 mins
        residual = 7.916634263274533e-11,       iter = 340,     time = 0.0 mins
        residual = 7.611431857452884e-11,       iter = 360,     time = 1.0 mins
        residual = 7.418981537550407e-11,       iter = 380,     time = 1.0 mins
        residual = 6.858041190565877e-11,       iter = 400,     time = 1.0 mins
        residual = 4.405668620024245e-11,       iter = 420,     time = 1.0 mins
        residual = 3.648659068283695e-11,       iter = 440,     time = 1.0 mins
        residual = 3.044624088827185e-11,       iter = 460,     time = 1.0 mins
        residual = 2.2002943262028737e-11,      iter = 480,     time = 1.0 mins
        residual = 6.718111783716933e-11,       iter = 500,     time = 1.0 mins
        residual = 4.760635278912484e-11,       iter = 520,     time = 1.0 mins
        residual = 3.543765954571206e-11,       iter = 540,     time = 1.0 mins
        residual = 1.9450024141415902e-11,      iter = 560,     time = 1.0 mins
        residual = 1.6000986362986744e-11,      iter = 580,     time = 1.0 mins
        residual = 1.531991894677893e-11,       iter = 600,     time = 1.0 mins
        residual = 1.487625778362399e-11,       iter = 620,     time = 1.0 mins
        residual = 1.2003289972647177e-11,      iter = 640,     time = 1.0 mins
        residual = 1.0448955628645848e-11,      iter = 660,     time = 1.0 mins
        residual = 1.0226704888862033e-11,      iter = 680,     time = 1.0 mins
        residual = 9.15298719039158e-12,        iter = 700,     time = 1.0 mins
        residual = 8.683635094681851e-12,       iter = 720,     time = 1.0 mins
        residual = 2.0917028552619795e-12,      iter = 740,     time = 2.0 mins
        residual = 4.733065261614863e-11,       iter = 760,     time = 2.0 mins
        residual = 3.959102746089764e-11,       iter = 780,     time = 2.0 mins
        residual = 3.38038582659513e-11,        iter = 800,     time = 2.0 mins
        residual = 3.082966705772953e-11,       iter = 820,     time = 2.0 mins
        residual = 2.99283909563104e-11,        iter = 840,     time = 2.0 mins
        residual = 2.935107270160993e-11,       iter = 860,     time = 2.0 mins
        residual = 2.4762711005166933e-11,      iter = 880,     time = 2.0 mins
        residual = 1.9253291370182793e-11,      iter = 900,     time = 2.0 mins
        residual = 1.6744827611643162e-11,      iter = 920,     time = 2.0 mins
        residual = 1.5982690308911296e-11,      iter = 940,     time = 2.0 mins
        residual = 5.014137629758779e-12,       iter = 960,     time = 2.0 mins
        residual = 4.351627418886754e-12,       iter = 980,     time = 2.0 mins
4 solver built, time used:  582.1634962558746 n omegas:  4

5 geometry_built, time used:  22.89554715156555
5 number of points:  12415
        residual = 0.1663025950015148,  iter = 20,      time = 0.0 mins
        residual = 0.11604696408002972, iter = 40,      time = 0.0 mins
        residual = 0.09134759665110714, iter = 60,      time = 0.0 mins
        residual = 0.06275967719958658, iter = 80,      time = 0.0 mins
        residual = 0.0534452718425259,  iter = 100,     time = 0.0 mins
        residual = 4.844243711448326e-07,       iter = 120,     time = 0.0 mins
        residual = 0.18387157218794697, iter = 20,      time = 0.0 mins
        residual = 0.13580007263980162, iter = 40,      time = 0.0 mins
        residual = 1.297287736163486e-05,       iter = 60,      time = 0.0 mins
        residual = 3.9965307428951924e-07,      iter = 80,      time = 0.0 mins
        residual = 1.6019150102132059e-07,      iter = 100,     time = 0.0 mins
        residual = 2.433145623988939e-10,       iter = 120,     time = 0.0 mins
        residual = 1.0520019449832337e-10,      iter = 140,     time = 0.0 mins
        residual = 7.959654010810513e-11,       iter = 160,     time = 0.0 mins
        residual = 7.767815719609575e-11,       iter = 180,     time = 0.0 mins
        residual = 7.664113391374931e-11,       iter = 200,     time = 0.0 mins
        residual = 7.600016125395627e-11,       iter = 220,     time = 0.0 mins
        residual = 7.501220010351332e-11,       iter = 240,     time = 0.0 mins
        residual = 7.432742512348481e-11,       iter = 260,     time = 0.0 mins
        residual = 7.407667743624224e-11,       iter = 280,     time = 0.0 mins
        residual = 3.742674725247117e-11,       iter = 300,     time = 0.0 mins
        residual = 2.2679283265956334e-11,      iter = 320,     time = 0.0 mins
        residual = 2.2636141661724826e-11,      iter = 340,     time = 0.0 mins
        residual = 2.5708777505209567e-11,      iter = 360,     time = 0.0 mins
        residual = 1.0682544018760457e-11,      iter = 380,     time = 0.0 mins
        residual = 6.91619355633171e-12,        iter = 400,     time = 0.0 mins
        residual = 4.1947078977298295e-12,      iter = 420,     time = 0.0 mins
        residual = 3.409727293506686e-12,       iter = 440,     time = 1.0 mins
        residual = 2.7316746747048743e-12,      iter = 460,     time = 1.0 mins
        residual = 9.086552996946304e-12,       iter = 480,     time = 1.0 mins
        residual = 5.9469275565087714e-12,      iter = 500,     time = 1.0 mins
        residual = 4.74451639980969e-12,        iter = 520,     time = 1.0 mins
        residual = 4.281821693283864e-12,       iter = 540,     time = 1.0 mins
        residual = 3.5414088873223546e-12,      iter = 560,     time = 1.0 mins
        residual = 2.656886621751129e-12,       iter = 580,     time = 1.0 mins
        residual = 2.6193788076002532e-12,      iter = 600,     time = 1.0 mins
        residual = 9.744099869396698e-13,       iter = 620,     time = 1.0 mins
        residual = 9.287422902324987e-13,       iter = 640,     time = 1.0 mins
        residual = 8.852003087442454e-13,       iter = 660,     time = 1.0 mins
        residual = 8.770593102772276e-13,       iter = 680,     time = 1.0 mins
        residual = 8.668935114829578e-13,       iter = 700,     time = 1.0 mins
        residual = 8.591587307476594e-13,       iter = 720,     time = 1.0 mins
        residual = 8.488006832134907e-13,       iter = 740,     time = 1.0 mins
        residual = 8.04632936021916e-13,        iter = 760,     time = 1.0 mins
        residual = 7.928226724749782e-13,       iter = 780,     time = 1.0 mins
        residual = 7.895964753805206e-13,       iter = 800,     time = 1.0 mins
        residual = 7.870224774763314e-13,       iter = 820,     time = 1.0 mins
        residual = 7.772077944726516e-13,       iter = 840,     time = 1.0 mins
        residual = 7.653312537748187e-13,       iter = 860,     time = 2.0 mins
        residual = 7.640793065044134e-13,       iter = 880,     time = 2.0 mins
        residual = 7.600909754328128e-13,       iter = 900,     time = 2.0 mins
        residual = 7.513582913248553e-13,       iter = 920,     time = 2.0 mins
        residual = 7.450378754034659e-13,       iter = 940,     time = 2.0 mins
        residual = 7.284351716106907e-13,       iter = 960,     time = 2.0 mins
5 solver built, time used:  154.5610523223877 n omegas:  2

6 geometry_built, time used:  23.09865713119507
6 number of points:  12441
        residual = 0.16640865372419986, iter = 20,      time = 0.0 mins
        residual = 0.11599485342037494, iter = 40,      time = 0.0 mins
